statecd,unitcd,fips,spcd,spgrpcd,spclass,product,product,volume,cuftprice,value
01,01,01,68,9,Coniferous,Pulpwood,,8574699.401414776,,
01,01,01,68,9,Coniferous,Pulpwood,,10734455.8859438,,
01,01,01,68,9,Coniferous,Pulpwood,,9899315.18369449,,
01,01,01,68,9,Coniferous,Pulpwood,,16035038.95851528,,
01,01,01,68,9,Coniferous,Sawtimber,,0.0,,
01,01,01,68,9,Coniferous,Sawtimber,,20443644.2969915,,
01,01,01,68,9,Coniferous,Sawtimber,,0.0,,
01,01,01,68,9,Coniferous,Sawtimber,,35190726.3145771,,
01,01,01,68,9,Coniferous,Sawtimber,,0.0,,
01,01,01,68,9,Coniferous,Sawtimber,,0.0,,
01,01,01,68,9,Coniferous,Sawtimber,,0.0,,
01,01,01,68,9,Coniferous,Sawtimber,,0.0,,
01,01,01,110,2,Coniferous,Pulpwood,,15476253.423671648,,
01,01,01,110,2,Coniferous,Pulpwood,,61644853.903206855,,
01,01,01,110,2,Coniferous,Pulpwood,,60306751.5166028,,
01,01,01,110,2,Coniferous,Pulpwood,,107047609.8910955,,
01,01,01,110,2,Coniferous,Sawtimber,,43015073.6363063,,
01,01,01,110,2,Coniferous,Sawtimber,,36988348.1458125,,
01,01,01,110,2,Coniferous,Sawtimber,,45745358.0431661,,
01,01,01,110,2,Coniferous,Sawtimber,,52958197.3266166,,
01,01,01,110,2,Coniferous,Sawtimber,,0.0,,
01,01,01,110,2,Coniferous,Sawtimber,,0.0,,
01,01,01,110,2,Coniferous,Sawtimber,,0.0,,
01,01,01,110,2,Coniferous,Sawtimber,,0.0,,
01,01,01,111,1,Coniferous,Pulpwood,,971457213.798672,,
01,01,01,111,1,Coniferous,Pulpwood,,2178709570.605179,,
01,01,01,111,1,Coniferous,Pulpwood,,3233257906.68698,,
01,01,01,111,1,Coniferous,Pulpwood,,3674844313.601803,,
01,01,01,111,1,Coniferous,Sawtimber,,2940564534.270676,,
01,01,01,111,1,Coniferous,Sawtimber,,2451606157.831735,,
01,01,01,111,1,Coniferous,Sawtimber,,1943084260.4032369,,
01,01,01,111,1,Coniferous,Sawtimber,,1304039443.596467,,
